Movie,Budget,WorldGross,RottenTomatoes,AudienceScore,Profitability
Disturbia,20.0,117.76,67.0,75.0,588.79
No Country for Old Men,25.0,171.63,95.0,84.0,686.5
The Golden Compass,180.0,372.23,42.0,55.0,206.8
Charlie Wilson's War,75.0,119.0,82.0,73.0,158.67
Saw IV,10.0,139.35,18.0,70.0,1393.52
Stomp the Yard,14.0,75.51,27.0,83.0,539.36
Surf's Up,85.0,149.04,78.0,64.0,175.34
Halloween,20.0,80.25,26.0,64.0,401.27
Tyler Perry's Why Did I get Married,15.0,55.86,46.0,47.0,372.41
TMNT,35.0,95.61,33.0,63.0,273.17
P.S. I Love You,30.0,156.83,21.0,82.0,522.78
3:10 to Yuma,48.0,70.02,88.0,85.0,145.86
Sweeney Todd: The Demon Barber of Fleet Street,50.0,152.52,86.0,81.0,305.05
Music and Lyrics,40.0,145.9,63.0,70.0,364.74
Michael Clayton,25.0,92.99,90.0,72.0,371.96
Premonition,20.0,84.15,8.0,55.0,420.73
The Kingdom,80.0,86.66,52.0,78.0,108.32
Shooter,61.0,95.7,47.0,82.0,156.88
License to Wed,35.0,69.31,8.0,55.0,198.02
No Reservations,28.0,92.6,39.0,64.0,330.71
Alien vs. Predator -- Requiem,40.0,128.88,14.0,37.0,322.21
There Will Be Blood,25.0,76.18,91.0,84.0,304.72
Epic Movie,20.0,86.87,2.0,38.0,434.33
Hitman,17.5,99.97,15.0,61.0,571.23
30 Days of Night,32.0,75.5,50.0,57.0,235.95
Stardust,70.0,135.56,76.0,86.0,193.66
The Brave One,70.0,69.79,43.0,65.0,99.69
The Heartbreak Kid,60.0,127.77,30.0,41.0,212.94
Smokin' Aces,17.0,57.1,27.0,64.0,335.9
Good Luck Chuck,25.0,59.19,3.0,61.0,236.76
Zodiac,65.0,84.79,89.0,73.0,130.44
Mr. Magorium's Wonder Emporium,25.0,69.47,36.0,56.0,277.9
We Own the Night,21.0,54.93,55.0,63.0,261.55
Mr. Brooks,20.0,48.12,56.0,75.0,240.61
The Nanny Diaries,20.0,47.74,33.0,52.0,238.69
Nancy Drew,20.0,30.67,49.0,61.0,153.33
The Mist,18.0,57.29,72.0,64.0,318.29
The Reaping,40.0,62.77,9.0,53.0,156.93
Grindhouse,53.0,25.42,82.0,86.0,47.96
Sicko,9.0,36.09,93.0,87.0,400.98
Across the Universe,45.0,29.37,54.0,84.0,65.26
The Hills Have Eyes 2,15.0,37.47,11.0,50.0,249.77
Vacancy,19.0,35.3,55.0,46.0,185.79
Waitress,2.0,22.18,89.0,67.0,1108.9
Into the Wild,15.0,56.25,82.0,90.0,375.03
Walk Hard: The Dewey Cox Story,35.0,20.58,75.0,55.0,58.79
Next,70.0,76.07,29.0,59.0,108.67
Hostel: Part II,10.0,35.62,44.0,45.0,356.19
The Kite Runner,20.0,73.28,66.0,85.0,366.38
Happily N'Ever After,47.0,38.09,4.0,43.0,81.03
The Invasion,80.0,40.17,19.0,43.0,50.21
Lions for Lambs,35.0,63.22,27.0,48.0,180.61
Daddy Day Camp,6.0,18.2,1.0,63.0,303.28
Shoot 'Em Up,39.0,26.82,67.0,66.0,68.77
The Darjeeling Limited,17.5,35.08,67.0,79.0,200.45
In the Land of Women,10.0,17.56,43.0,72.0,175.61
Dragon Wars (aka D-War),75.0,75.11,27.0,44.0,100.14
Pathfinder: Legend of the Ghost Warrior,26.0,30.82,11.0,41.0,118.55
The Dark Knight,185.0,1004.56,94.0,96.0,543.0
Iron Man,186.0,585.52,94.0,91.0,314.8
Indiana Jones and the Kingdom of the Crystal Skull,185.0,786.64,77.0,59.0,425.21
Hancock,150.0,624.39,40.0,67.0,416.26
WALL-E,180.0,521.31,96.0,89.0,289.62
Kung Fu Panda,200.0,631.74,88.0,83.0,315.87
Madagascar: Escape 2 Africa,150.0,603.9,64.0,73.0,402.6
Twilight,37.0,392.62,49.0,82.0,1061.12
Quantum of Solace,230.0,586.09,64.0,62.0,254.82
Dr. Seuss' Horton Hears a Who!,85.0,297.14,79.0,75.0,349.57
Sex and the City,57.5,415.25,49.0,81.0,722.18
Gran Torino,33.0,269.96,80.0,90.0,818.05
Mamma Mia!,66.0,609.84,53.0,76.0,924.0
The Chronicles of Narnia: Prince Caspian,200.0,419.67,66.0,78.0,209.83
Slumdog Millionaire,15.0,377.91,94.0,90.0,2519.39
The Incredible Hulk,137.5,263.43,67.0,75.0,191.58
Wanted,75.0,341.43,73.0,72.0,455.24
Get Smart,80.0,230.69,51.0,73.0,288.36
Four Christmases,80.0,163.73,26.0,52.0,204.67
Tropic Thunder,90.0,188.07,83.0,69.0,208.97
Bedtime Stories,80.0,212.87,25.0,63.0,266.09
Bolt,150.0,309.98,89.0,76.0,206.65
Marley and Me,55.0,242.72,63.0,77.0,441.3
The Mummy: Tomb of the Dragon Emperor,145.0,401.13,14.0,40.0,276.64
Journey to the Center of the Earth,45.0,241.99,61.0,55.0,537.76
Eagle Eye,80.0,178.07,27.0,72.0,222.58
Step Brothers,65.0,128.11,54.0,68.0,197.09
You Don't Mess with the Zohan,80.0,199.94,36.0,50.0,249.92
Yes Man,70.0,223.24,43.0,72.0,318.91
"10,000 B.C.",105.0,269.78,9.0,44.0,256.94
Beverly Hills Chihuahua,20.0,149.28,41.0,56.0,746.41
High School Musical 3: Senior Year,11.0,252.91,65.0,76.0,2299.16
Pineapple Express,26.0,101.62,68.0,74.0,390.86
Valkyrie,75.0,200.28,58.0,66.0,267.03
21,35.0,157.93,35.0,73.0,451.22
What Happens in Vegas,35.0,219.38,28.0,72.0,626.79
Jumper,82.5,222.23,16.0,50.0,269.37
Cloverfield,25.0,170.76,77.0,67.0,683.05
The Curious Case of Benjamin Button,160.0,333.93,73.0,81.0,208.71
27 Dresses,30.0,160.26,40.0,71.0,534.19
Hellboy II: The Golden Army,82.5,160.39,87.0,70.0,194.41
The Day the Earth Stood Still,100.0,233.09,19.0,34.0,233.09
Vantage Point,40.0,151.16,35.0,61.0,377.9
The Spiderwick Chronicles,92.5,162.84,79.0,67.0,176.04
Fool's Gold,72.5,111.23,11.0,53.0,153.42
Role Models,28.0,92.38,77.0,75.0,329.93
The Happening,48.0,163.4,19.0,29.0,340.42
Forgetting Sarah Marshall,30.0,105.17,85.0,75.0,350.57
Burn After Reading,37.0,163.72,78.0,64.0,442.48
Baby Mama,70.0,64.16,63.0,59.0,91.66
Seven Pounds,55.0,168.17,27.0,77.0,305.76
Step Up 2: The Streets,17.5,150.82,26.0,81.0,861.8
Saw V,10.8,113.86,13.0,63.0,1054.29
The Strangers,9.0,82.39,44.0,48.0,915.44
The Forbidden Kingdom,55.0,127.98,64.0,65.0,232.69
The Tale of Despereaux,55.0,86.95,54.0,46.0,158.09
The House Bunny,25.0,70.44,39.0,54.0,281.77
Nim's Island,37.0,100.08,51.0,50.0,270.47
Australia,78.0,211.34,55.0,69.0,270.95
Made of Honor,40.0,105.96,13.0,61.0,264.91
College Road Trip,140.0,51.55,13.0,56.0,36.82
The Sisterhood of the Traveling Pants 2,27.0,44.35,65.0,67.0,164.26
Speed Racer,120.0,93.95,38.0,61.0,78.29
Prom Night,18.0,57.2,8.0,46.0,317.76
Rambo,47.5,113.24,36.0,70.0,238.41
"Welcome Home, Roscoe Jenkins",35.0,43.65,24.0,64.0,124.71
Tyler Perry's Meet the Browns,20.0,41.98,31.0,36.0,209.88
Nights in Rodanthe,30.0,84.37,31.0,56.0,281.25
Max Payne,35.0,85.42,16.0,36.0,244.05
Righteous Kill,60.0,78.46,19.0,44.0,130.77
Lakeview Terrace,20.0,44.65,46.0,44.0,223.27
Body of Lies,67.5,115.1,53.0,65.0,170.51
Meet the Spartans,30.0,84.65,2.0,31.0,282.15
Harold and Kumar Escape from Guantanamo Bay,12.0,43.49,54.0,65.0,362.43
First Sunday,13.0,38.8,13.0,59.0,298.48
The Secret Life of Bees,11.0,39.95,56.0,78.0,363.15
Tyler Perry's The Family That Preys,10.0,37.11,51.0,36.0,371.05
Death Race,45.0,75.68,42.0,69.0,168.17
Changeling,55.0,113.02,62.0,84.0,205.49
Star Wars: The Clone Wars,8.5,68.28,19.0,46.0,803.32
Semi-Pro,2.6,43.88,21.0,41.0,1687.85
Fireproof,0.5,33.47,40.0,51.0,6694.4
Drillbit Taylor,40.0,49.69,26.0,49.0,124.23
The Love Guru,62.0,40.86,14.0,38.0,65.91
"Definitely, Maybe",7.0,55.45,71.0,72.0,792.1
Milk,20.0,54.59,94.0,88.0,272.93
Transporter 3,30.0,108.98,36.0,58.0,363.26
Quarantine,12.0,41.32,59.0,46.0,344.33
Nick and Norah's Infinite Playlist,10.0,33.51,73.0,67.0,335.05
The Eye,12.0,56.96,22.0,51.0,474.69
Zack and Miri Make a Porno,24.0,42.1,64.0,70.0,175.43
Leatherheads,58.0,41.3,52.0,41.0,71.2
Mirrors,35.0,77.49,14.0,49.0,221.39
Space Chimps,37.0,64.83,36.0,37.0,175.22
The Bank Job,20.0,64.82,78.0,74.0,324.11
Untraceable,35.0,52.66,14.0,56.0,150.45
The Women,16.0,50.01,13.0,41.0,312.54
One Missed Call,20.0,45.85,0.0,36.0,229.24
The Other Boleyn Girl,40.0,77.71,41.0,65.0,194.28
Street Kings,20.0,65.57,37.0,62.0,327.86
Shutter,8.0,47.88,7.0,40.0,598.48
Superhero Movie,65.0,71.24,15.0,36.0,109.6
W.,25.1,29.51,60.0,42.0,117.55
Never Back Down,21.0,41.63,23.0,37.0,198.22
Traitor,22.0,27.66,55.0,66.0,125.74
Vicky Cristina Barcelona,16.0,96.41,82.0,73.0,602.55
Babylon A.D.,45.0,72.11,7.0,32.0,160.24
The X-Files: I Want to Believe,35.0,68.37,32.0,34.0,195.34
Mad Money,22.0,26.41,22.0,51.0,120.05
Appaloosa,20.0,27.67,77.0,55.0,138.33
Igor,30.0,30.75,36.0,42.0,102.49
My Best Friend's Girl,20.0,41.62,14.0,51.0,208.11
Doubt,25.0,50.91,78.0,75.0,203.62
The Spirit,6.0,39.03,14.0,29.0,650.52
Kit Kittredge: An American Girl,10.0,17.66,78.0,26.0,176.57
The Ruins,25.0,22.73,46.0,32.0,90.91
88 Minutes,30.0,32.59,5.0,51.0,108.64
Swing Vote,20.0,17.63,36.0,44.0,88.17
Pride & Glory,30.0,31.15,34.0,54.0,103.82
Bangkok Dangerous,45.0,42.49,9.0,33.0,94.42
Disaster Movie,20.0,34.82,2.0,28.0,174.08
The Duchess,13.5,43.31,60.0,68.0,320.78
The Haunting of Molly Hartley,5.0,15.42,3.0,22.0,308.34
Ghost Town,20.0,27.07,85.0,60.0,135.37
Religulous,2.5,13.64,70.0,78.0,545.52
Rachel Getting Married,12.0,16.62,85.0,61.0,138.52
Under the Same Moon,1.7,23.31,72.0,37.0,1371.24
Miss Pettigrew Lives for a Day,60.0,16.72,78.0,70.0,27.87
Meet Dave,60.0,50.65,19.0,42.0,84.42
The Longshots,30.0,11.77,39.0,39.0,39.22
"Be Kind, Rewind",20.0,30.58,65.0,57.0,152.88
Doomsday,33.0,22.21,48.0,47.0,67.3
Stop-Loss,25.0,11.21,65.0,27.0,44.82
Penelope,15.0,21.16,52.0,74.0,141.03
The Express,37.5,9.81,62.0,73.0,26.15
Smart People,7.0,11.84,50.0,41.0,169.19
The Visitor,4.0,18.08,92.0,83.0,451.95
The Boy in the Striped Pyjamas,12.5,40.42,63.0,84.0,323.33
Sex Drive,19.0,18.76,46.0,61.0,98.71
Cadillac Records,12.0,8.88,67.0,64.0,73.99
Punisher: War Zone,35.0,10.1,27.0,47.0,28.85
Miracle at St. Anna,45.0,9.32,34.0,68.0,20.72
City of Ember,38.0,17.93,52.0,48.0,47.18
In Bruges,15.0,33.39,81.0,85.0,222.62
Expelled: No Intelligence Allowed,3.5,7.72,10.0,42.0,220.57
Over Her Dead Body,10.0,21.46,15.0,47.0,214.57
Avatar,237.0,2781.5,83.0,92.0,1173.63
Transformers: Revenge of the Fallen,210.0,836.3,20.0,76.0,398.24
Harry Potter and the Half-Blood Prince,250.0,934.0,83.0,75.0,373.6
The Twilight Saga: New Moon,50.0,709.82,27.0,78.0,1419.64
Up,175.0,731.3,98.0,86.0,417.89
The Hangover,35.0,467.46,79.0,87.0,1335.6
Star Trek,140.0,385.65,94.0,91.0,275.46
The Blind Side,29.0,309.2,65.0,90.0,1066.2
Alvin and the Chipmunks: The Squeakquel,75.0,440.7,21.0,59.0,587.6
Sherlock Holmes,90.0,524.02,70.0,81.0,582.24
Monsters Vs. Aliens,175.0,381.5,72.0,65.0,218.0
Ice Age: Dawn of the Dinosaurs,90.0,886.68,45.0,72.0,985.2
X-Men Origins: Wolverine,150.0,373.1,37.0,72.0,248.73
Night at the Museum: Battle of the Smithsonian,150.0,413.0,43.0,60.0,275.33
2012,200.0,769.69,39.0,63.0,384.84
The Proposal,40.0,314.7,43.0,74.0,786.75
Fast and Furious,85.0,363.1,28.0,76.0,427.18
G.I. Joe: The Rise of Cobra,175.0,302.1,33.0,62.0,172.63
Paul Blart: Mall Cop,26.0,183.28,33.0,50.0,704.92
Taken,25.0,226.8,58.0,83.0,907.2
A Christmas Carol,200.0,325.33,52.0,72.0,162.67
Angels & Demons,150.0,485.9,36.0,65.0,323.93
Terminator Salvation,200.0,372.0,33.0,64.0,186.0
Cloudy with a Chance of Meatballs,100.0,243.03,86.0,70.0,243.03
Inglourious Basterds,70.0,321.41,88.0,87.0,459.16
G-Force,150.0,285.1,22.0,50.0,190.07
District 9,30.0,210.77,91.0,81.0,702.57
It's Complicated,85.0,219.1,56.0,63.0,257.76
Couples Retreat,60.0,171.83,12.0,47.0,286.38
Watchmen,130.0,185.3,64.0,68.0,142.54
The Princess and the Frog,105.0,267.04,84.0,72.0,254.32
Public Enemies,100.0,214.1,67.0,65.0,214.1
Julie & Julia,40.0,126.57,74.0,69.0,316.43
He's Just Not That Into You,25.0,178.84,42.0,60.0,715.36
The Ugly Truth,38.0,205.28,14.0,68.0,540.22
Up in the Air,25.0,200.2,90.0,76.0,800.81
Knowing,50.0,183.58,33.0,50.0,367.16
Hannah Montana: The Movie,35.0,155.55,44.0,66.0,444.43
Where the Wild Things Are,100.0,100.08,73.0,59.0,100.08
Zombieland,23.6,102.39,90.0,87.0,433.86
Coraline,60.0,124.58,89.0,77.0,207.63
Law Abiding Citizen,53.0,126.48,25.0,77.0,238.64
Hotel for Dogs,35.0,118.2,46.0,57.0,337.71
Michael Jackson's This Is It,60.0,261.19,81.0,82.0,435.32
"I Love You, Man",40.0,91.4,83.0,72.0,228.5
Obsessed,20.0,73.82,20.0,50.0,369.1
Race to Witch Mountain,50.0,106.38,42.0,50.0,212.76
The Final Destination,40.0,186.19,29.0,52.0,465.47
The Taking of Pelham 1 2 3,100.0,150.16,51.0,60.0,150.16
Friday the 13th,19.0,91.4,25.0,52.0,481.05
17 Again,20.0,136.3,55.0,70.0,681.5
The Time Traveler's Wife,39.0,101.33,38.0,65.0,259.82
Bruno,42.0,130.8,68.0,48.0,311.43
Bride Wars,30.0,115.15,11.0,56.0,383.83
The Haunting in Connecticut,30.0,77.52,17.0,51.0,258.4
Ghosts of Girlfriends Past,50.0,102.22,27.0,47.0,204.44
Funny People,75.0,71.58,68.0,58.0,95.44
My Bloody Valentine 3-D,14.0,100.73,57.0,48.0,719.49
Old Dogs,35.0,96.75,5.0,49.0,276.43
Land of the Lost,100.0,68.77,26.0,38.0,68.77
My Sister's Keeper,27.5,95.71,47.0,73.0,348.05
Underworld: Rise of the Lycans,35.0,91.35,30.0,68.0,261.0
Confessions of a Shopaholic,70.0,108.3,24.0,53.0,155.0
The Lovely Bones,65.0,93.51,32.0,57.0,143.86
Year One,60.0,62.35,14.0,31.0,103.92
The Unborn,16.0,76.51,11.0,39.0,478.19
Planet 51,70.0,105.64,22.0,45.0,150.91
Drag Me to Hell,30.0,90.8,92.0,61.0,302.67
Orphan,30.0,76.69,55.0,65.0,255.64
Duplicity,60.0,78.14,64.0,38.0,130.23
Surrogates,80.0,122.43,39.0,42.0,153.04
Ninja Assassin,50.0,61.59,25.0,57.0,123.18
Invictus,60.0,122.23,75.0,74.0,203.72
State of Play,60.0,88.3,84.0,71.0,147.0
Notorious,20.0,44.36,50.0,66.0,221.8
The Pink Panther 2,59.0,75.94,12.0,47.0,128.71
All About Steve,15.0,40.12,6.0,35.0,267.47
Halloween II,15.0,39.41,20.0,45.0,262.73
The Informant!,22.0,41.76,78.0,42.0,189.82
The Men Who Stare at Goats,25.0,68.94,52.0,43.0,275.76
(500) Days of Summer,7.5,60.72,87.0,81.0,809.6
Push,38.0,48.85,22.0,47.0,128.55
9,30.0,48.41,57.0,58.0,161.37
The Soloist,60.0,38.31,56.0,59.0,63.85
Did You Hear About the Morgans?,58.0,85.28,12.0,31.0,147.03
The Stepfather,20.0,31.2,12.0,48.0,156.0
Brothers,26.0,43.27,61.0,62.0,166.42
Saw VI,11.0,68.19,40.0,67.0,619.91
Dance Flick,25.0,31.43,17.0,35.0,125.72
The Fourth Kind,10.0,47.7,18.0,44.0,477.0
The International,50.0,60.1,58.0,39.0,120.2
Aliens in the Attic,45.0,57.88,30.0,46.0,128.62
Observe and Report,18.0,26.96,51.0,40.0,149.78
Love Happens,18.0,36.08,18.0,40.0,200.44
Fame,18.0,77.21,25.0,43.0,428.95
Fantastic Mr. Fox,40.0,46.46,93.0,80.0,116.15
Gamer,12.5,40.82,29.0,43.0,326.56
Nine,80.0,53.99,37.0,40.0,67.49
Astro Boy,65.0,39.89,49.0,53.0,61.36
The Invention of Lying,18.5,32.4,56.0,47.0,175.14
Inkheart,60.0,62.44,39.0,51.0,104.07
Fired Up!,20.0,18.6,22.0,52.0,93.0
The Hurt Locker,15.0,49.22,97.0,83.0,328.13
Jennifer's Body,16.0,31.55,42.0,37.0,197.19
Imagine That,55.0,22.99,38.0,44.0,41.8
Adventureland,9.8,17.16,89.0,56.0,175.1
Armored,20.0,16.0,40.0,34.0,80.0
A Perfect Getaway,14.0,22.83,61.0,50.0,163.07
The Box,30.0,33.38,46.0,27.0,111.27
I Love You Beth Cooper,18.0,15.82,14.0,38.0,87.89
Amelia,40.0,19.2,21.0,35.0,48.0
Cirque du Freak: The Vampire's Assistant,40.0,39.23,38.0,50.0,98.08
Crank: High Voltage,12.9,34.5,62.0,54.0,267.44
Whip It,15.0,16.0,84.0,73.0,106.67
An Education,7.5,26.09,94.0,78.0,347.87
12 Rounds,20.0,17.28,30.0,52.0,86.38
Sunshine Cleaning,5.0,16.57,72.0,59.0,331.4
Sorority Row,12.5,27.21,22.0,38.0,217.68
Extract,7.5,10.83,62.0,37.0,144.33
Not Easily Broken,5.0,10.7,34.0,66.0,214.0
Pandorum,40.0,17.0,28.0,49.0,42.5
Whiteout,35.0,12.2,7.0,28.0,34.86
Next Day Air,3.0,10.0,21.0,27.0,333.33
Away We Go,21.0,14.89,67.0,74.0,70.9
Dragonball Evolution,30.0,58.23,15.0,28.0,194.1
A Serious Man,7.0,31.43,89.0,64.0,448.99
Everybody's Fine,21.0,16.4,46.0,55.0,78.1
Street Fighter: The Legend of Chun-Li,50.0,12.34,16.0,28.0,24.68
My Life in Ruins,17.0,18.01,9.0,43.0,106.0
"Pirate Radio (The Boat that Rocked, UK)",50.0,36.34,60.0,72.0,72.68
The Road,25.0,27.63,75.0,65.0,110.51
Taking Woodstock,29.0,9.98,48.0,48.0,34.4
Post Grad,15.0,6.38,7.0,31.0,42.53
Whatever Works,15.0,35.09,50.0,63.0,233.94
Bandslam,20.0,12.1,79.0,60.0,61.0
127 Hours,18.0,60.73,93.0,84.0,337.39
A Nightmare on Elm Street,35.0,115.67,13.0,40.0,330.49
Alice in Wonderland,200.0,1025.466,52.0,72.0,512.73
All About Steve,15.0,40.12,6.0,35.0,267.47
Alpha and Omega,20.0,50.507,17.0,41.0,252.54
Black Swan,13.0,329.397,88.0,86.0,2533.82
Brooklyn's Finest,17.0,36.439,42.0,47.0,214.35
Buried,2.0,19.148,86.0,63.0,957.4
Burlesque,55.0,89.519,36.0,66.0,162.76
Case 39,26.0,28.19,23.0,42.0,108.42
Cats & Dogs: The Revenge of Kitty Galore,85.0,112.49,13.0,43.0,132.34
Charlie St. Cloud,44.0,48.188,27.0,62.0,109.52
City Island,6.0,7.874,81.0,77.0,131.23
Clash of the Titans,125.0,493.214,28.0,48.0,394.57
Conviction,12.5,9.71,68.0,71.0,77.68
Cop Out,30.0,55.588,19.0,45.0,185.29
Country Strong,15.0,20.528,20.0,56.0,136.85
Cyrus,7.0,9.92,80.0,51.0,141.71
Date Night,55.0,152.263,66.0,58.0,276.84
Daybreakers,20.0,51.41,67.0,50.0,257.05
Dear John,25.0,114.97,29.0,66.0,459.88
Death at a Funeral,21.0,49.05,40.0,48.0,233.57
Despicable Me,69.0,543.113,81.0,81.0,787.12
Devil,10.0,62.694,52.0,45.0,626.94
Diary of a Wimpy Kid,15.0,75.7,53.0,49.0,504.67
Dinner for Schmucks,69.0,86.855,43.0,47.0,125.88
Due Date,50.0,211.78,40.0,56.0,423.56
Easy A,8.0,74.95,85.0,75.0,936.88
Eat Pray Love,60.0,204.59,36.0,46.0,340.98
Edge of Darkness,80.0,81.12,55.0,56.0,101.4
Extraordinary Measures,31.0,15.14,27.0,55.0,48.84
Faster,24.0,35.626,41.0,50.0,148.44
For Colored Girls,21.0,55.049,33.0,73.0,262.14
From Paris with Love,52.0,52.829,38.0,57.0,101.59
Furry Vengeance,35.0,36.236,8.0,36.0,103.53
Get Him to the Greek,40.0,91.257,73.0,63.0,228.14
Going the Distance,32.0,42.05,53.0,56.0,131.41
Green Zone,100.0,94.878,53.0,60.0,94.88
Grown Ups,80.0,271.43,10.0,59.0,339.29
Gulliver's Travels,112.0,237.382,21.0,31.0,211.95
Harry Potter and the Deathly Hallows Part 1,125.0,959.3,79.0,87.0,767.44
Hot Tub Time Machine,36.0,64.571,64.0,57.0,179.36
How to Train Your Dragon,165.0,494.88,98.0,90.0,299.93
I Love You Phillip Morris,15.0,20.722,71.0,57.0,138.15
Inception,160.0,825.536,86.0,93.0,515.96
Iron Man 2,200.0,623.93,74.0,80.0,311.97
Jackass 3-D,20.0,171.685,63.0,72.0,858.43
Jonah Hex,47.0,10.91,13.0,24.0,23.21
Just Wright,12.0,21.569,45.0,58.0,179.74
Kick-Ass,30.0,96.188,76.0,83.0,320.63
Killers,75.0,98.16,11.0,45.0,130.88
Knight and Day,117.0,261.927,53.0,52.0,223.87
Leap Year,19.0,32.608,21.0,49.0,171.62
Legend of the Guardians: The Owls of Ga'Hoole,80.0,140.073,51.0,65.0,175.09
Legion,26.0,67.92,19.0,36.0,261.23
Letters to Juliet,30.0,79.179,40.0,62.0,263.93
Life as We Know It,52.0,53.374,28.0,62.0,102.1
Little Fockers,100.0,310.649,9.0,40.0,310.65
Love & Other Drugs,30.0,102.802,48.0,55.0,342.67
MacGruber,10.0,9.327,47.0,33.0,93.27
Machete,20.0,44.089,73.0,66.0,220.45
Marmaduke,50.0,83.757,9.0,46.0,167.51
Megamind,130.0,321.884,72.0,73.0,247.6
Morning Glory,40.0,60.039,54.0,54.0,150.1
My Soul to Take,25.0,20.971,9.0,29.0,83.88
Nanny McPhee Returns,35.0,93.24,77.0,54.0,266.4
Never Let Me Go,15.0,9.45,70.0,70.0,63.0
Percy Jackson & the Olympians: The Lightning Thief,95.0,226.5,50.0,57.0,238.42
Piranha 3-D,24.0,83.188,74.0,45.0,346.62
Please Give,3.0,4.309,88.0,62.0,143.63
Predators,40.0,127.232,64.0,52.0,318.08
Prince of Persia: The Sands of Time,200.0,336.365,36.0,71.0,168.18
Red,58.0,199.006,71.0,72.0,343.11
Remember Me,16.0,56.034,28.0,70.0,350.21
Repo Men,32.0,18.41,22.0,43.0,57.53
Resident Evil: Afterlife,60.0,296.22,24.0,53.0,493.7
Robin Hood,200.0,321.669,42.0,59.0,160.83
Salt,110.0,293.502,62.0,62.0,266.82
Saw 3-D,20.0,136.15,10.0,47.0,680.75
Scott Pilgrim vs. the World,60.0,47.66,81.0,83.0,79.43
Sex and the City 2,100.0,288.347,15.0,49.0,288.35
She's Out of My League,20.0,49.778,57.0,60.0,248.89
Shrek Forever After,165.0,752.604,57.0,64.0,456.12
Shutter Island,80.0,294.802,68.0,73.0,368.5
Skyline,10.0,66.817,16.0,19.0,668.17
Solitary Man,15.0,5.178,81.0,47.0,34.52
Step Up 3D,30.0,159.291,46.0,67.0,530.97
Stone,22.0,9.479,49.0,20.0,43.09
Takers,32.0,69.05,27.0,57.0,215.78
Tangled,260.0,591.794,89.0,88.0,227.61
The A-Team,100.0,177.236,47.0,71.0,177.24
The American,20.0,67.875,66.0,37.0,339.38
The Back-up Plan,35.0,77.477,20.0,47.0,221.36
The Book of Eli,80.0,157.107,48.0,68.0,196.38
The Bounty Hunter,40.0,136.333,7.0,41.0,340.83
The Chronicles of Narnia: The Voyage of the Dawn Treader,155.0,415.685,49.0,63.0,268.18
The Crazies,20.0,54.803,72.0,54.0,274.02
The Expendables,82.0,274.469,40.0,58.0,334.72
The Fighter,25.0,129.154,91.0,88.0,516.62
The Ghost Writer,45.0,60.22,83.0,68.0,133.82
The Joneses,10.0,1.97,61.0,47.0,19.7
The Karate Kid,40.0,359.12,66.0,75.0,897.8
The Kids Are All Right,4.0,34.704,94.0,72.0,867.6
The King's Speech,15.0,414.204,95.0,93.0,2761.36
The Last Airbender,150.0,319.713,6.0,42.0,213.14
The Last Exorcism,1.8,67.733,73.0,32.0,3762.94
The Last Song,20.0,89.04,19.0,66.0,445.2
The Losers,25.0,29.38,47.0,55.0,117.52
The Next Three Days,30.0,67.45,51.0,66.0,224.83
The Other Guys,100.0,170.431,78.0,57.0,170.43
The Runaways,10.0,4.677,68.0,56.0,46.77
The Social Network,50.0,224.919,96.0,89.0,449.84
